timestamp,value
1564588800000,419.36
1564589100000,376.36
1564589400000,309.32
1564589700000,351.04
1564590000000,324.36
1564590300000,229.88
1564590600000,310.44
1564590900000,294.64
1564591200000,222.4
1564591500000,274.76
1564591800000,259.96
1564592100000,208.72
1564592400000,351.0
1564592700000,326.64
1564593000000,254.04
1564593300000,289.52
1564593600000,270.72
1564593900000,221.84
1564594200000,321.28
1564594500000,253.52
1564594800000,198.8
1564595100000,276.88
1564595400000,231.08
1564595700000,181.32
1564596000000,361.56
1564596300000,347.68
1564596600000,205.88
1564596900000,249.8
1564597200000,258.36
1564597500000,165.08
1564597800000,241.32
1564598100000,209.0
1564598400000,203.56
1564598700000,200.84
1564599000000,215.04
1564599300000,185.56
1564599600000,320.08
1564599900000,287.16
1564600200000,247.52
1564600500000,256.92
1564600800000,272.44
1564601100000,253.2
1564601400000,273.56
1564601700000,247.4
1564602000000,220.96
1564602300000,273.2
1564602600000,251.8
1564602900000,177.92
1564603200000,303.48
1564603500000,299.52
1564603800000,246.56
1564604100000,306.64
1564604400000,304.76
1564604700000,225.24
1564605000000,312.64
1564605300000,265.92
1564605600000,217.0
1564605900000,308.72
1564606200000,259.24
1564606500000,208.36
1564606800000,343.88
1564607100000,343.4
1564607400000,306.76
1564607700000,339.36
1564608000000,377.92
1564608300000,274.28
1564608600000,366.36
1564608900000,349.84
1564609200000,371.08
1564609500000,460.08
1564609800000,408.48
1564610100000,401.6
1564610400000,598.16
1564610700000,486.0
1564611000000,410.16
1564611300000,430.72
1564611600000,387.72
1564611900000,383.48
1564612200000,490.68
1564612500000,413.04
1564612800000,447.48
1564613100000,489.64
1564613400000,415.84
1564613700000,441.12
1564614000000,598.72
1564614300000,498.96
1564614600000,503.24
1564614900000,540.2
1564615200000,474.88
1564615500000,459.68
1564615800000,576.08
1564616100000,500.32
1564616400000,501.64
1564616700000,544.0
1564617000000,532.52
1564617300000,517.96
1564617600000,649.92
1564617900000,583.92
1564618200000,629.52
1564618500000,630.84
1564618800000,575.2
1564619100000,589.72
1564619400000,694.96
1564619700000,619.24
1564620000000,637.6
1564620300000,714.72
1564620600000,706.04
1564620900000,688.92
1564621200000,861.0
1564621500000,838.2
1564621800000,832.24
1564622100000,886.6
1564622400000,855.28
1564622700000,889.28
1564623000000,939.04
1564623300000,859.12
1564623600000,853.88
1564623900000,958.24
1564624200000,904.64
1564624500000,856.92
1564624800000,1038.92
1564625100000,929.92
1564625400000,972.8
1564625700000,1053.0
1564626000000,965.36
1564626300000,985.84
1564626600000,1084.24
1564626900000,1023.36
1564627200000,1039.2
1564627500000,993.72
1564627800000,967.76
1564628100000,926.96
1564628400000,1053.84
1564628700000,1001.64
1564629000000,1014.44
1564629300000,1021.0
1564629600000,987.16
1564629900000,903.0
1564630200000,987.6
1564630500000,912.04
1564630800000,917.28
1564631100000,919.12
1564631400000,905.52
1564631700000,807.96
1564632000000,977.2
1564632300000,845.24
1564632600000,867.48
1564632900000,854.64
1564633200000,844.96
1564633500000,804.72
1564633800000,862.28
1564634100000,750.88
1564634400000,832.56
1564634700000,798.36
1564635000000,777.16
1564635300000,782.52
1564635600000,889.4
1564635900000,831.64
1564636200000,814.68
1564636500000,796.68
1564636800000,811.2
1564637100000,778.48
1564637400000,849.0
1564637700000,795.32
1564638000000,833.76
1564638300000,836.92
1564638600000,833.16
1564638900000,840.24
1564639200000,970.64
1564639500000,923.4
1564639800000,934.68
1564640100000,955.04
1564640400000,864.24
1564640700000,830.36
1564641000000,879.56
1564641300000,842.44
1564641600000,861.64
1564641900000,884.4
1564642200000,845.52
1564642500000,833.24
1564642800000,947.48
1564643100000,859.0
1564643400000,906.28
1564643700000,928.0
1564644000000,911.16
1564644300000,882.4
1564644600000,944.88
1564644900000,836.04
1564645200000,881.68
1564645500000,817.76
1564645800000,823.48
1564646100000,977.52
1564646400000,1034.76
1564646700000,973.88
1564647000000,980.72
1564647300000,988.16
1564647600000,916.08
1564647900000,871.88
1564648200000,984.88
1564648500000,888.64
